end_station_name,end_lat,end_lng
St Nicholas Ave & W 150 St,40.827212,-73.942722
E 53 St & Lexington Ave,40.75828065,-73.97069431
Dean St & Hoyt St,40.6864442,-73.98759104
Fulton St & Clermont Ave,40.68415748,-73.96922273
Frost St & Meeker Ave,40.71766197083994,-73.94880026578903
Washington St & Barrow St,40.73191132323174,-74.008769094944
21 St & 23 Ave,40.778557,-73.919046
Nassau Ave & Newell St,40.724812564400175,-73.94752621650696
Mercer St & Bleecker St,40.72706363348306,-73.99662137031554
Prospect Ave & Vanderbilt St,40.653368,-73.976291
E 106 St & Madison Ave,40.7934337,-73.94945003
Union St & 4 Ave,40.6772744,-73.98282002
Amsterdam Ave & W 175 St,40.844044,-73.933651
45 Rd & 11 St,40.74708586,-73.94977234
Stewart Ave & Johnson Ave,40.70869,-73.92587
Goulden Ave & Bedford Park Blvd W,40.87387,-73.89533
Southern Blvd & Avenue St. John,40.812769,-73.901583
Walton Ave & E 153 St,40.822351,-73.926907
Sterling Pl & 5 Ave,40.678970070475735,-73.97855266928671
Putnam Ave & Throop Ave,40.6851532,-73.94111
39 St & 50 Ave,40.73824937345944,-73.92737478017807
Amsterdam Ave & W 156 St,40.832081,-73.942386
N 6 St & Bedford Ave,40.71745169,-73.95850939
W 46 St & 11 Ave,40.76341379,-73.99667444
W Burnside Ave & University Ave,40.853686,-73.912498
W 25 St & 6 Ave,40.74395411,-73.99144871
Popham Ave & W 174 St,40.847746,-73.922079
Rivington St & Ridge St,40.71850211,-73.98329859
Lewis Ave & Kosciuszko St,40.69237074,-73.93705428
5 Ave & E 93 St,40.7857851,-73.957481
Audubon Ave & W 192 St,40.85589030603889,-73.92708241939545
DeKalb Ave & S Portland Ave,40.68981035,-73.97493121
Central Park W & W 97 St,40.79249519495111,-73.96417066463071
Clinton St & Tillary St,40.69623297129316,-73.99142056703568
Clark St & Henry St,40.69760127,-73.99344559
Vernon Blvd & 50 Ave,40.74232744,-73.95411749
Lexington Ave & E 120 St,40.8013066,-73.9398167
1 Ave & E 62 St,40.7612274,-73.96094022
Graham Ave & Herbert St,40.71929301,-73.94500379
6 Ave & W 34 St,40.74964,-73.98805
Kenmare St & Elizabeth St,40.72054,-73.9949
40 Ave & 9 St,40.75742,-73.945133
Park Cir & East Dr,40.651566,-73.972212
Riverside Dr & W 91 St,40.79313480986663,-73.97700369358063
48 St & 5 Ave,40.646351,-74.009271
Hancock St & Stuyvesant Ave,40.68454,-73.9322
49 Ave & 21 St,40.74252,-73.948852
W 17 St & 7 Ave,40.74056423633952,-73.99852573871613
Cathedral Pkwy & Broadway,40.804213,-73.96699104
2 Ave & E 96 St,40.7839636,-73.9471673
4 Ave & 3 St,40.673746,-73.985649
Maiden Ln & Pearl St,40.70706456,-74.00731853
Central Ave & Himrod St,40.69676,-73.92302
1 Ave & E 39 St,40.74714,-73.97113
Edgecombe Ave & W 150 St,40.826881,-73.941427
St Marks Pl & 2 Ave,40.7284186,-73.98713956
W 29 St & 9 Ave,40.7500727,-73.99839279
West Broadway & Watts St,40.72323,-74.00314
31 St & 23 Ave,40.7747878,-73.9125551
E 1 St & Bowery,40.72486122254819,-73.99213135242462
E 91 St & 2 Ave,40.78115276427916,-73.94963040947914
University Ave & W 168 St,40.838706,-73.927034
Water St & Main St,40.703212,-73.990409
Adams St & Prospect St,40.70076308326151,-73.98869812488556
Prospect Pl & Underhill Ave,40.6769694,-73.96579
Rogers Ave & Sterling St,40.6630619,-73.9538746
Columbus Ave & W 103 St,40.7969347,-73.9643412291
E 103 St & Lexington Ave,40.7903051,-73.94755757
Pearl St & Hanover Square,40.7047177,-74.00926027
E 142 St & 3 Ave,40.812735,-73.923697
Lincoln Ave & E 138 St,40.810893,-73.927311
5 Ave & W 131 St,40.81014,-73.93973
Dyckman St & Staff St,40.868846,-73.931537
Willoughby St & Ashland Pl,40.69178,-73.97877
Shakespeare Ave & W 169 St,40.839312,-73.922423
43 Ave & 42 St,40.74534682580983,-73.9219419658184
28 Ave & 44 St,40.76408932350688,-73.91065120697021
Humboldt St & Varet St,40.7031724,-73.940636
31 Ave & 34 St,40.763154,-73.920827
Edgecombe Ave & W 141 St,40.820681,-73.945144
River Ter & Warren St,40.71759894980997,-74.01587963104248
W 116 St & Amsterdam Ave,40.8067581,-73.9607082
E 128 St & Madison Ave,40.80756,-73.939182
E 170 St & Sheridan Ave,40.838315,-73.912604
12 Ave & W 40 St,40.76087502,-74.00277668
1 Ave & E 18 St,40.73381219196632,-73.98054420948029
McKibbin St & Manhattan Ave,40.70510918,-73.94407279
Central Park West & W 72 St,40.77579376683666,-73.9762057363987
Murray St\t& West St,40.71503,-74.01246
E 16 St & Irving Pl,40.735367055605394,-73.98797392845154
Dean St & Franklin Ave,40.67759206937376,-73.955637216568
21 St & Queens Plaza North,40.75325964,-73.94335788
Schermerhorn St & Hoyt St,40.6886263,-73.9851911
Riverside Dr & W 145 St,40.827305,-73.951989
Willoughby Ave & Wyckoff Ave,40.705614,-73.92153
Court St & Nelson St,40.6763947,-73.99869893
11 Ave & Prospect Ave,40.65629,-73.977335
Riverside Dr & Broadway,40.865364,-73.92791
35 St & 34 Ave,40.7580583,-73.9242751
31 St & Newtown Ave,40.7675487799971,-73.9209334552288
Wyckoff Ave & Gates Ave,40.699871408829885,-73.91171872615814
Murray St & West St,40.71503,-74.01246
Ft. Hamilton Pkwy & E 2 St,40.648005,-73.979342
Lincoln Pl & Classon Ave,40.6721683,-73.9609
St Ann's Ave & Westchester Ave,40.815887,-73.911918
Stanton St & Norfolk St,40.720747,-73.986274
Warren St & Smith St,40.68542400997018,-73.99127773940563
Centre St & Worth St,40.71494807,-74.00234482
Morton St & West St,40.73142106543068,-74.01077985769007
Washington Square E,40.73049393,-73.9957214
E 50 St & Park Ave,40.757334,-73.974235
S 3 St & Bedford Ave,40.71260486,-73.96264403
Kent Ave & Division Ave,40.706563674670925,-73.9683187007904
Jay St & York St,40.70140317257725,-73.98672670125961
W 56 St & 8 Ave,40.765959181657976,-73.98313522338867
Norfolk St & Broome St,40.7172274,-73.98802084
Hudson St & Reade St,40.71625008,-74.0091059
Bay St & Court St,40.671409,-74.001328
Water St & Gouverneur Ln,40.70469667894968,-74.00803416967392
36 St & Ditmars Blvd,40.774306,-73.908335
W 89 St & Columbus Ave,40.7882213,-73.97041561
E 91 St & Park Ave,40.7835016,-73.955327
3 Ave & Carroll St,40.677027,-73.9865
E 118 St & 3 Ave,40.799139,-73.9389152
Suydam St & Broadway,40.69544,-73.93223
51 St & 43 Ave,40.74451,-73.91412
Wilson Ave & Troutman St,40.70166,-73.92754
Ditmars Blvd & 19 St,40.78145,-73.9183302
