start_station_name,start_lat,start_lng
Allen St & Hester St,40.71605866,-73.99190759
E 23 St & 1 Ave,40.736502,-73.97809472
Lincoln Ave & E 134 St,40.808484,-73.928803
W 53 St & 10 Ave,40.766518593,-73.990802288
Classon Ave & St Marks Ave,40.676458001,-73.959629059
Columbia St & Degraw St,40.6859296,-74.00242364
Edgecombe Ave & W 145 St,40.823510051,-73.944065571
3 St & 3 Ave,40.6750705,-73.98775226
Hudson St & W 13 St,40.74015379,-74.005342007
South St & Pike St,40.70991806921533,-73.99161100387573
Perry St & Greenwich Ave,40.735918,-74.000939
Grand St & Elizabeth St,40.718822,-73.99596
7 St & 3 Ave,40.672617435,-73.989687085
W 52 St & 6 Ave,40.76132983124814,-73.97982001304626
E 138 St & Park Ave,40.812655926,-73.929380298
3 Ave & E 62 St,40.76312584,-73.96526895
Kane St & Clinton St,40.6861758,-73.99645295
61 St & Laurel Hill Blvd,40.7388,-73.90338
St James Pl & Pearl St,40.71117416,-74.00016545
E 53 St & Madison Ave,40.759358406,-73.974022508
W 36 St & 7 Ave,40.752149,-73.989539
Sterling Pl & Bedford Ave,40.672695,-73.954131
Orchard St & Grand St,40.717318403855785,-73.99067759513855
South St & Gouverneur Ln,40.70355377,-74.00670227
Macombs Pl & W 152 St,40.826481462,-73.937861443
Hudson St & Reade St,40.716236949,-74.009166837
39 Dr & 52 St,40.74732,-73.91197
Morton St & West St,40.731421,-74.01078
Suydam St & Broadway,40.69544,-73.93223
W 56 St & 8 Ave,40.765959181657976,-73.98313522338867
Queens Blvd & 56 St,40.74193,-73.90913
Kent Ave & Division Ave,40.706563674670925,-73.9683187007904
Stanton St & Norfolk St,40.720747,-73.986274
Norfolk St & Broome St,40.7172274,-73.98802084
Warren St & Smith St,40.68542400997018,-73.99127773940563
W 35 St & 9 Ave,40.75414519263519,-73.9960889518261
Garfield Pl & 8 Ave,40.6711978,-73.97484126
Morningside Ave & W 123 St,40.809924722,-73.955175161
E 67 St & Park Ave,40.767830491,-73.965657115
Franklin Ave & Myrtle Ave,40.694452405,-73.958131671
Liberty St & Nassau St,40.70858894240581,-74.00935482235809
E 1 St & 1 Ave,40.72335597960796,-73.98864984512329
Washington St & Gansevoort St,40.739323,-74.008119
St Marks Pl & 1 Ave,40.72779126,-73.98564945
Grand St & Havemeyer St,40.71286844,-73.95698119
Union St & 4 Ave,40.6772744,-73.98282002
E 48 St & 5 Ave,40.75724567911726,-73.97805914282799
Madison Ave & E 99 St,40.78948541553215,-73.95242929458618
E 11 St & Avenue B,40.72746420692392,-73.97950418293476
Columbia St & Kane St,40.68763155,-74.0016256
Willis Ave & Bruckner Blvd,40.805701,-73.925177
6 Ave & 9 St,40.668127,-73.98377641
W 40 St & 7 Ave,40.754818,-73.988154
W 13 St & 7 Ave,40.73781509,-73.99994661
E 5 St & Cooper Sq,40.72769,-73.990993
8 Ave & W 38 St,40.75461,-73.99177
E 44 St & Lexington Ave,40.752643,-73.974996
Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392
S 4 St & Rodney St,40.70934,-73.95608
E 81 St & 3 Ave,40.77573034,-73.9567526
Harrison Pl & Porter Ave,40.70686,-73.92851
Greenpoint Ave & Manhattan Ave,40.73026,-73.95394
Hope St & Union Ave,40.71167351,-73.95141312
Knickerbocker Ave & Moffat St,40.690434,-73.903737
Franklin St & Dupont St,40.73564,-73.95866
31 St & Astoria Blvd,40.7699176,-73.9184057
W 56 St & 6 Ave,40.76340613,-73.97722479
21 Ave & Crescent St,40.780478,-73.912212
5 Ave & E 72 St,40.77282817,-73.96685276
11 St & 43 Ave,40.7519071,-73.9479119
Madison St & Malcolm X Blvd,40.68713,-73.93008
Duane St & Hudson St,40.717331052,-74.009584904
E 188 St & Creston Ave,40.861641526,-73.898274422
Vernon Blvd & 31 Ave,40.7692475,-73.9354504
Boerum St & Broadway,40.70538077,-73.94976519
Caton Ave & E 10 St,40.648524165,-73.970509171
E 43 St & 2 Ave,40.750441432,-73.971011281
E 27 St & 1 Ave,40.739445,-73.976806
E 47 St & Park Ave,40.75510267,-73.97498696
W 113 St & Broadway,40.805973,-73.964928
Sheridan Ave & E 168 St,40.835274935,-73.915444136
West End Ave & W 107 St,40.8021174,-73.9681805305
Butler St & Court St,40.6849894,-73.99440329
E 68 St & 3 Ave,40.76712840349542,-73.96224617958069
W 37 St & 10 Ave,40.75660359,-73.9979009
Margaret Corbin Plz & Ft Washington Ave,40.859306216,-73.933831215
Broadway & W 142 St,40.82468617,-73.951905608
58 St & 2 Ave,40.644512,-74.021506
Cadman Plaza E & Tillary St,40.69595468,-73.990155816
Douglass St & 4 Ave,40.6792788,-73.98154004
Wales Ave & E 147 St,40.811301947,-73.907826662
Albemarle Rd & McDonald Ave,40.645074,-73.979681
Frederick Douglass Blvd & W 117 St,40.805159,-73.954692
E 16 St & Irving Pl,40.735367055605394,-73.98797392845154
Central Park West & W 72 St,40.77579376683666,-73.9762057363987
31 St & Newtown Ave,40.7675487799971,-73.9209334552288
1 Ave & E 18 St,40.73381219196632,-73.98054420948029
